County,SumLogResid,AvgLogResid,MaxLogResid,StdevLogResid,Towns,DMVs,DMVs_km2,Markets1588,Markets1588_km2,Tax1524/5,1524/5_km2,1515Tax,1515Tax_km2,CoT1515_1377,1086%Pop,1290%Pop,1377%Pop,1600%Pop,1522Pop,1522PopDens,CoT1086_1290,CoT1290_1377,CoT1377_1600,km2,Lon,Lat,TownTaxpay,TownTax,TownTax/TotTax,TownTaxpay_km2,TownTax_km2,RuralTax,RuralTax_km2
Berkshire,0.984695988,0.328231996,0.432648711,0.173186501,3,43,0.022963176,12,0.006408328,1569.5,0.838155913,41560,22.19417632,2.8,2.24,1.29,1.64,1.38,32430,17.31850669,0.23,-0.46,0.15,1872.563298,-1.21823501,51.50904609,1212,438,0.279069767,0.647241138,0.233903976,1131.5,0.604251937
Buckinghamshire,0.064298111,0.032149056,0.20985994,0.251321143,2,56,0.028964661,11,0.005689487,1026.5,0.530932578,32838,16.98467022,3.32,1.77,1.87,1.78,1.36,31960,16.53054572,0.53,-0.79,0.1,1933.390497,-0.783951188,51.82565168,377,81,0.078908914,0.194994235,0.041895313,945.5,0.489037265
Cambridgeshire,-1.443702687,-0.360925672,-0.253054493,0.090992691,4,17,0.007651343,6,0.002700474,1089.5,0.490361076,35271,15.8747366,2.44,1.82,2.89,2.12,1.76,41360,18.61526766,0.73,-1.09,0.14,2221.832141,0.117107096,52.34243187,1367,238,0.21844883,0.615258,0.107118803,851.5,0.383242273
Cornwall,-1.078733058,-0.539366529,-0.496182056,0.061072067,2,8,0.002263337,21,0.005941258,1393,0.394103471,43422,12.28482477,6.6,1.73,0.73,2.48,2.5,58750,16.62137753,0.08,0.66,0.23,3534.604752,-4.867333436,50.37350882,449,57,0.04091888,0.127029762,0.016126273,1336,0.377977198
Derbyshire,-0.46653109,-0.46653109,-0.46653109,0,1,33,0.012524796,8,0.003036314,551.5,0.209315917,12401,4.706666692,1.83,0.95,1.79,1.76,1.7,39950,15.1625945,0.81,-0.75,0.21,2634.773357,-1.611880133,53.09521037,232,32,0.058023572,0.088053114,0.012145257,519.5,0.197170659
Devon,0.898652301,0.081695664,1.10496923,0.468620965,11,15,0.002206429,36,0.00529543,4569,0.672078367,110297,16.22416889,8.53,5.7,3.11,3.45,6.28,147580,21.70832248,0.21,-0.62,0.49,6798.314338,-3.850988557,50.73853543,3584,1106,0.242066098,0.527189509,0.162687388,3463,0.50939098
Dorset,1.069379895,0.534689948,0.798829637,0.373549931,2,42,0.016121841,21,0.00806092,1831.5,0.703027414,45160,17.33481737,3.71,2.72,2.06,2.48,1.82,42770,16.41740786,0.37,-0.53,0.09,2605.161568,-2.418162315,50.80118686,384,137,0.074802075,0.147399687,0.052587909,1694.5,0.650439505
Essex,0.244734991,0.061183748,0.578047024,0.423301245,4,17,0.004125398,20,0.004853409,3500,0.849346619,99858,24.23258705,5.51,5.1,3.53,3.68,3.76,88360,21.44236207,0.32,-0.69,0.23,4120.814661,0.559509316,51.80372715,1530,403,0.115142857,0.371285808,0.097796196,3097,0.751550423
Gloucestershire,0.269864956,0.134932478,0.189702719,0.077456817,2,67,0.019983402,23,0.006859974,2425,0.72327985,73751,21.99695351,3.33,3.08,3.2,3.28,2.46,57810,17.24239512,0.52,-0.71,0.1,3352.782465,-2.118448285,51.85284513,1632,613,0.252783505,0.486759883,0.182833216,1812,0.540446635
Hampshire,-0.887800441,-0.22195011,0.015685924,0.3107173,4,156,0.036338682,19,0.004425865,2305.5,0.537043798,68345,15.92030291,3.69,3.85,1.98,2.83,2.53,59455,13.84946389,0.18,-0.33,0.17,4292.945957,-1.259438797,50.9938018,1590,309,0.134027326,0.370375033,0.071978544,1996.5,0.465065254
