Number,Town,Taxpayers,Log_Taxpayers,not_in_main_data
1,Norwich,1423,7.260522598,0
2,Bristol,1166,7.061334367,0
3,Exeter,1019,6.926577033,0
4,York,871,6.769641977,0
5,Salisbury,799,6.683360946,0
6,Canterbury,784,6.66440902,0
7,Coventry,725,6.586171655,0
8,Colchester,701,6.552507887,0
9,Bury St Edmunds,645,6.469250317,0
10,Lincoln,625,6.43775165,0
11,Hereford,611,6.415096959,0
12,Winchester ,596,6.390240667,0
13,St Albans,580,6.363028104,0
14,Shrewsbury,550,6.309918278,0
15,Oxford,533,6.278521424,0
16,Reading,531,6.274762021,0
17,Cambridge,524,6.261491684,0
18,Worcester,499,6.212606096,0
19,Yarmouth,497,6.208590026,0
20,Ipswich,484,6.182084907,0
21,Maidstone,480,6.173786104,0
22,Northampton,474,6.161207322,0
23,Gloucester,466,6.144185634,0
24,Southampton,450,6.109247583,0
25,Rochester,437,6.079933195,0
26,Crediton,433,6.070737728,0
27,Huntingdon,433,6.070737728,0
28,Leicester,427,6.056784013,0
29,Newbury,414,6.025865974,0
30,Lichfield,391,5.96870756,0
31,Ely,382,5.945420609,0
32,Saffron Walden,380,5.940171253,0
33,Lynn,320,5.768320996,0
34,Hadleigh,311,5.739792912,0
35,Plymouth,310,5.736572297,0
36,Beccles,307,5.726847748,0
37,Chichester,301,5.707110265,0
38,Taunton,300,5.703782475,0
39,Boston,295,5.686975356,0
40,Nottingham,295,5.686975356,0
41,Tiverton,289,5.666426688,0
42,Wymondham,287,5.659482216,0
43,Bodmin,285,5.65248918,0
44,Basingstoke,284,5.648974238,0
45,Hull,284,5.648974238,0
46,Windsor,267,5.587248658,0
47,Beverly,266,5.583496309,0
48,Alton,260,5.560681631,0
49,Barking ,256,5.545177444,0
50,Wisbech,252,5.529429088,0
51,Ottery St Mary,250,5.521460918,0
52,Spalding ,250,5.521460918,0
53,Kingston-on-Thames,249,5.517452896,0
54,Stamford,247,5.509388337,0
55,Cullompton,245,5.501258211,0
56,Marlborough,237,5.468060141,0
57,Colyton,236,5.463831805,0
58,Dunwich,235,5.459585514,0
59,Derby,232,5.446737372,0
60,Walsingham,232,5.446737372,0
61,Aylsham,231,5.442417711,0
62,Sudbury,231,5.442417711,0
63,Barnstaple,230,5.438079309,0
64,Wells,221,5.398162702,0
65,Totnes,220,5.393627546,0
66,Shaftesbury,213,5.361292166,0
67,Bath,212,5.356586275,0
68,Peterborough,212,5.356586275,0
69,Glastonbury,209,5.342334252,0
70,Ramsey,209,5.342334252,0
71,Lewes,207,5.332718793,0
72,Aylesbury,202,5.308267697,0
73,Lavenham,199,5.293304825,0
74,Maldon,193,5.262690189,0
75,St Neots,193,5.262690189,0
76,Woodbridge,192,5.257495372,0
77,Henley-on-Thames,191,5.252273428,0
78,Wellingborough,188,5.236441963,0
79,Croydon,185,5.220355825,0
80,Pontefract,181,5.198497031,0
81,Modbury,179,5.187385806,0
82,Petworth,178,5.18178355,0
83,High Wycombe ,175,5.164785974,0
84,Holbeach,174,5.159055299,0
85,Torrington,173,5.153291594,0
86,Dorchester,171,5.141663557,0
87,Selby,170,5.135798437,0
88,Wolverhampton,168,5.123963979,0
89,Oundle,164,5.099866428,0
90,Penryn,164,5.099866428,0
91,Manchester,163,5.093750201,0
92,Devizes ,158,5.062595033,0
93,Louth,151,5.017279837,0
94,Malmesbury,124,4.820281566,1
95,Plympton,123,4.812184355,1
96,Hatherleigh,119,4.779123493,1
97,Towcester,118,4.770684624,1
98,Higham Ferres,117,4.762173935,1
99,Burton-on-Trent,115,4.744932128,1
100,Warminster,114,4.736198448,1
101,Woodbury,111,4.709530201,1
102,Stafford,108,4.682131227,1
103,Walsall,108,4.682131227,1
104,Newark,107,4.672828834,1
105,Rothwell,106,4.663439094,1
106,Helston,106,4.663439094,1
107,Lacock,105,4.65396035,1
108,Chippenham,105,4.65396035,1
109,Oakham,104,4.644390899,1
110,Burford,102,4.624972813,1
111,Banbury,97,4.574710979,1
112,Topsham,95,4.553876892,1
113,Eynsham,93,4.532599493,1
114,Linton,89,4.48863637,1
115,Tamerton Foliot,84,4.430816799,1
116,Ashburton,82,4.406719247,1
117,Modbury,81,4.394449155,1
118,Kinver,80,4.382026635,1
119,New Thame,78,4.356708827,1
120,Uxbridge,77,4.343805422,1
121,Aveton Gifford,76,4.33073334,1
122,Cricklade,74,4.304065093,1
123,Newton Ferrers,70,4.248495242,1
124,Chipping Norton,65,4.17438727,1
125,Chudleigh,65,4.17438727,1
126,Swavesey,63,4.143134726,1
127,Milverton,63,4.143134726,1
128,Woodstock,62,4.127134385,1
129,Witney,61,4.110873864,1
130,Finedon,56,4.025351691,1
131,Lympstone,56,4.025351691,1
132,Daventry,53,3.970291914,1
133,Combe Martin,51,3.931825633,1
134,East Looe,50,3.912023005,1
