Number,Town,Taxpayers,Tax,Rural,Problem,Group,Rank,Log_Taxpayers,Log_Tax,Log_Rank,GroupN
1,Norwich,1423,749,0,0,1,1,7.260522598,6.618738984,0,No Issues
2,Bristol,1166,479,0,0,1,2,7.061334367,6.171700597,0.693147181,No Issues
3,Exeter,1019,441,0,0,1,3,6.926577033,6.089044875,1.098612289,No Issues
4,Salisbury,799,411,0,0,1,5,6.683360946,6.018593214,1.609437912,No Issues
5,Canterbury,784,269,0,0,1,6,6.66440902,5.59471138,1.791759469,No Issues
6,Coventry,725,448,0,0,1,7,6.586171655,6.104793232,1.945910149,No Issues
7,Colchester,701,204,0,0,1,8,6.552507887,5.318119994,2.079441542,No Issues
8,Bury St Edmunds,645,180,0,0,1,9,6.469250317,5.192956851,2.197224577,No Issues
9,Lincoln,625,124,0,0,1,10,6.43775165,4.820281566,2.302585093,No Issues
10,Hereford,611,124,0,0,1,11,6.415096959,4.820281566,2.397895273,No Issues
11,Winchester ,596,86,0,0,1,12,6.390240667,4.454347296,2.48490665,No Issues
12,St Albans,580,95,0,0,1,13,6.363028104,4.553876892,2.564949357,No Issues
13,Shrewsbury,550,101,0,0,1,14,6.309918278,4.615120517,2.63905733,No Issues
14,Oxford,533,105,0,0,1,15,6.278521424,4.65396035,2.708050201,No Issues
15,Reading,531,223,0,0,1,16,6.274762021,5.407171771,2.772588722,No Issues
16,Cambridge,524,97,0,0,1,17,6.261491684,4.574710979,2.833213344,No Issues
17,Worcester,499,171,0,0,1,18,6.212606096,5.141663557,2.890371758,No Issues
18,Yarmouth,497,125,0,0,1,19,6.208590026,4.828313737,2.944438979,No Issues
19,Ipswich,484,282,0,0,1,20,6.182084907,5.641907071,2.995732274,No Issues
20,Northampton,474,91,0,0,1,22,6.161207322,4.510859507,3.091042453,No Issues
21,Southampton,450,101,0,0,1,24,6.109247583,4.615120517,3.17805383,No Issues
22,Leicester,427,107,0,0,1,28,6.056784013,4.672828834,3.33220451,No Issues
23,Newbury,414,121,0,0,1,29,6.025865974,4.795790546,3.36729583,No Issues
24,Lichfield,391,36,0,0,1,30,5.96870756,3.583518938,3.401197382,No Issues
25,Saffron Walden,380,61,0,0,1,32,5.940171253,4.110873864,3.465735903,No Issues
26,Hadleigh,311,109,0,0,1,34,5.739792912,4.691347882,3.526360525,No Issues
27,Plymouth,310,85,0,0,1,35,5.736572297,4.442651256,3.555348061,No Issues
