Number,Town,County,Taxpayers,Tax,Rural,Problem,grp,Lat,Lon,per_cap,RankPop,LogTaxpayers,LogTax,LogRankPop,Resid,per_cap
1,Norwich,Norfolk,1423,749,0,0,0,52.6308859,1.297355,0.526352776,1,7.260522598,6.618738984,0,0.383871645,0.526352776
2,Bristol,Gloucestershire,1166,479,0,0,0,51.454513,-2.58791,0.410806175,2,7.061334367,6.171700597,0.693147181,0.189702719,0.410806175
3,Exeter,Devon,1019,441,0,0,0,50.718412,-3.533899,0.432777233,3,6.926577033,6.089044875,1.098612289,0.278121432,0.432777233
4,Salisbury,Wiltshire,799,411,0,0,0,51.068785,-1.794472,0.514392991,5,6.683360946,6.018593214,1.609437912,0.516432594,0.514392991
5,Canterbury,Kent,784,269,0,0,0,51.280233,1.0789089,0.343112245,6,6.66440902,5.59471138,1.791759469,0.116610228,0.343112245
6,Coventry,Warwickshire,725,448,0,0,0,52.406822,-1.519693,0.617931034,7,6.586171655,6.104793232,1.945910149,0.726014417,0.617931034
7,Colchester,Essex,701,204,0,0,0,51.895927,0.891874,0.291012839,8,6.552507887,5.318119994,2.079441542,-0.017922669,0.291012839
8,Bury St Edmunds,Suffolk,645,180,0,0,0,52.2429228,0.7104932,0.279069767,9,6.469250317,5.192956851,2.197224577,-0.037390326,0.279069767
9,Lincoln,Lincolnshire,625,124,0,0,0,53.225662,-0.542779,0.1984,10,6.43775165,4.820281566,2.302585093,-0.370078054,0.1984
10,Hereford,Herefordshire,611,124,0,0,0,52.056398,-2.715974,0.20294599,11,6.415096959,4.820281566,2.397895273,-0.341317924,0.20294599
11,Winchester ,Hampshire,596,86,0,0,0,51.059775,-1.310141,0.144295302,12,6.390240667,4.454347296,2.48490665,-0.67569713,0.144295302
12,St Albans,Hertfordshire,580,95,0,0,0,51.752725,-0.339436,0.163793103,13,6.363028104,4.553876892,2.564949357,-0.541621186,0.163793103
13,Shrewsbury,Shropshire,550,101,0,0,0,52.7073029,-2.7553268,0.183636364,14,6.309918278,4.615120517,2.63905733,-0.412954637,0.183636364
14,Oxford,Oxfordshire,533,105,0,0,0,51.7520209,-1.2577263,0.196998124,15,6.278521424,4.65396035,2.708050201,-0.334256498,0.196998124
15,Reading,Berkshire,531,223,0,0,0,51.454265,-0.97813,0.419962335,16,6.274762021,5.407171771,2.772588722,0.423727486,0.419962335
16,Cambridge,Cambridgeshire,524,97,0,0,0,52.205337,0.121817,0.185114504,17,6.261491684,4.574710979,2.833213344,-0.391886615,0.185114504
17,Worcester,Worcestershire,499,171,0,0,0,52.193636,-2.221575,0.342685371,18,6.212606096,5.141663557,2.890371758,0.237126218,0.342685371
18,Yarmouth,Norfolk,497,125,0,0,0,52.598233,1.728047,0.251509054,19,6.208590026,4.828313737,2.944438979,-0.071125201,0.251509054
